Application.About|Keyboard[Alt+A]
Brain.Sync|Keyboard[Alt+Shift+Ctrl+F3]
Brain.SyncSettings|Keyboard[Alt+Shift+Ctrl+F5]
Brain.Theme|Keyboard[Alt+Shift+Ctrl+5]
Edit.Copy|Keyboard[Ctrl+C]
Edit.Cut|Keyboard[Ctrl+X]
Edit.Paste|Keyboard[Ctrl+V]
Edit.Redo|Keyboard[Ctrl+Y]
Edit.SelectAll|Keyboard[Ctrl+A]
Edit.Undo|Keyboard[Ctrl+Z]
Icon.CaptureIconImage|Keyboard[Alt+Ctrl+S]
Icon.ChooseIconFile|Keyboard[Alt+Ctrl+T]
Icon.CopyIcon|Keyboard[Alt+Ctrl+U]
Icon.DeleteIcon|Keyboard[Alt+Ctrl+V]
Icon.PasteIconImage|Keyboard[Alt+Ctrl+W]
Icon.SelectStockIcon|Keyboard[Alt+Ctrl+X]
Link.ShowLinkHistory|Keyboard[Alt+G]
Link.ShowLinkProperties|Keyboard[Alt+Y]
Link.Unlink|Keyboard[Alt+Z]
Navigate.ActivateRecent|Keyboard[Alt+R]
Navigate.ActivateType|Keyboard[Alt+P]
Navigate.ActivateTag|Keyboard[Alt+O]
Navigate.Backward|Keyboard[Alt+Left]
Navigate.Down|Keyboard[Down]
Navigate.Enter|Keyboard[Enter]
Navigate.Escape|Keyboard[Esc]
Navigate.Forward|Keyboard[Alt+Right]
Navigate.Home|Keyboard[Alt+Q]
Navigate.Left|Keyboard[Left]
Navigate.Pin1|Keyboard[Ctrl+1]
Navigate.Pin2|Keyboard[Ctrl+2]
Navigate.Pin3|Keyboard[Ctrl+3]
Navigate.Pin4|Keyboard[Ctrl+4]
Navigate.Pin5|Keyboard[Ctrl+5]
Navigate.Pin6|Keyboard[Ctrl+6]
Navigate.Pin7|Keyboard[Ctrl+7]
Navigate.Pin8|Keyboard[Ctrl+8]
Navigate.Right|Keyboard[Right]
Navigate.Toggle|Keyboard[Space]
Navigate.Up|Keyboard[Up]
Notes.NotesStyle|Keyboard[Alt+Shift+0]
Notes.NormalParagraph|Keyboard[Alt+Shift+/]
Notes.Subheading|Keyboard[Alt+Shift+;]
Notes.Heading|Keyboard[Alt+Shift+.]
Notes.Title|Keyboard[Alt+Shift+']
Notes.CodeParagraph|Keyboard[Alt+Shift+,]
Notes.Bold|Keyboard[Ctrl+B]
Notes.Italic|Keyboard[Ctrl+I]
Notes.Code|Keyboard[Alt+Shift+]]
Notes.Font|Keyboard[Alt+Shift+3]
Notes.ColorFore|Keyboard[Alt+Shift+F11]
Notes.ColorBack|Keyboard[Alt+Shift+F10]
Notes.Underline|Keyboard[Ctrl+U]
Notes.Superscript|Keyboard[Shift+Ctrl+E]
Notes.Subscript|Keyboard[Shift+Ctrl+W]
Notes.RemoveInline|Keyboard[Alt+Shift+F1]
Notes.JustLeft|Keyboard[Alt+Shift+9]
Notes.JustCenter|Keyboard[Alt+Shift+\]
Notes.JustRight|Keyboard[Alt+Shift+F5]
Notes.ListBullets|Keyboard[Alt+Shift+F7]
Notes.ListNumbers|Keyboard[Alt+Shift+=]
Notes.ListCheckbox|Keyboard[Alt+Shift+[]
Notes.HorizontalRule|Keyboard[Alt+Shift+4]
Notes.DateTime|Keyboard[Ctrl+D]
Notes.SpecialCharacter|Keyboard[Alt+Shift+7]
Notes.InsertUrlLink|Keyboard[Alt+Shift+5]
Notes.InsertThoughtLink|Keyboard[Alt+Shift+6]
Notes.InsertTable|Keyboard[Alt+Shift+8]
Notes.FindReplace|Keyboard[Ctrl+F]
Notes.FindNext|Keyboard[Alt+Shift+1]
Notes.FindPrevious|Keyboard[Alt+Shift+2]
Notes.ReplaceNext|Keyboard[Alt+Shift+F2]
Notes.ReplacePrevious|Keyboard[Alt+Shift+F3]
Notes.ToggleShowWordCount|Keyboard[Alt+Shift+F6]
Notes.OpenInBrowser|Keyboard[Alt+Shift+-]
Notes.ExportPdf|Keyboard[Alt+Shift+`]
Notes.Print|Keyboard[Ctrl+P]
Options.HidePrivateThoughts|Keyboard[Alt+V]
Options.ShowForgottenThoughts|Keyboard[Alt+W]
Options.Wander|Keyboard[Alt+S]
Options.WebSearch|Keyboard[Alt+T]
Report.AddReportToSelection|Keyboard[Alt+Shift+Ctrl+A]
Report.DeleteReported|Keyboard[Alt+Shift+Ctrl+C]
Report.ForgottenReport|Keyboard[Alt+Shift+Ctrl+M]
Report.RememberReported|Keyboard[Alt+Shift+Ctrl+G]
Report.RemoveReportFromSelection|Keyboard[Alt+Shift+Ctrl+H]
Report.Report|Keyboard[Alt+Shift+Ctrl+I]
Report.RefreshReport|Keyboard[Alt+Shift+Ctrl+E]
Report.CurrentReportName|Keyboard[Alt+Shift+Ctrl+J]
Report.SaveAs|Keyboard[Alt+Shift+Ctrl+K]
Report.SaveChanges|Keyboard[Alt+Shift+Ctrl+L]
Report.DiscardChanges|Keyboard[Alt+Shift+Ctrl+D]
Report.Delete|Keyboard[Alt+Shift+Ctrl+B]
Selection.ClearSelection|Keyboard[Alt+Shift+Ctrl+O]
Selection.DeleteSelection|Keyboard[Alt+Shift+Ctrl+P]
Selection.ForgetSelection|Keyboard[Alt+Shift+Ctrl+Q]
Selection.LinkAsChildren|Keyboard[Alt+Shift+Ctrl+R]
Selection.LinkAsParents|Keyboard[Alt+Shift+Ctrl+T]
Selection.LinkAsJumps|Keyboard[Alt+Shift+Ctrl+S]
Selection.RememberSelection|Keyboard[Alt+Shift+Ctrl+U]
Selection.AddSearchResultsToSelection|Keyboard[Alt+Shift+Ctrl+N]
Selection.RemoveSearchResultsFromSelection|Keyboard[Alt+Shift+Ctrl+V]
Selection.SelectPathBetween|Keyboard[Alt+Shift+Ctrl+W]
Selection.SelectRelated|Keyboard[Alt+Shift+Ctrl+X]
Selection.ShowCommonChildren|Keyboard[Alt+Shift+Ctrl+Y]
Selection.UnlinkSelection|Keyboard[Alt+Shift+Ctrl+Z]
Thought.ChangeKind|Keyboard[Alt+,]
Thought.CopyId|Keyboard[Alt+.]
Thought.CreateFromSearch|Keyboard[Alt+/]
Thought.CreateChild|Keyboard[F6]
Thought.CreateParent|Keyboard[F7]
Thought.CreateJump|Keyboard[F8]
Thought.DeleteThought|Keyboard[Ctrl+Del]
Thought.DuplicateThought|Keyboard[Alt+']
Thought.ForgetThought|Keyboard[Alt+\]
Thought.KeepVisibleWhenParent|Keyboard[Alt+=]
Thought.AllTypesVisibleWhenParent|Keyboard[Alt+]]
Thought.AllTypesNotVisibleWhenParent|Keyboard[Alt+[]
Thought.OpenItemAttachment|Keyboard[Alt+`]
Thought.OpenInNewTab|Keyboard[Alt+3]
Thought.OpenInNewWindow|Keyboard[Alt+4]
Thought.OpenContentInNewWindow|Keyboard[Alt+1]
Thought.OpenItemFolder|Keyboard[Alt+2]
Thought.OpenThoughtInWebClient|Keyboard[Alt+5]
Thought.RememberThought|Keyboard[Alt+6]
Thought.ShowThoughtHistory|Keyboard[Alt+7]
Thought.ShowThoughtProperties|Keyboard[Alt+8]
Thought.SwitchNameAndLabel|Keyboard[Alt+9]
Thought.TogglePin|Keyboard[Alt+0]
Thought.TogglePrivate|Keyboard[Alt+-]
Timeline.AttachEventToActionItem|Keyboard[Shift+,]
Timeline.AttachEventToThought|Keyboard[Shift+.]
Timeline.DetachEvent|Keyboard[Shift+\]
Timeline.DeleteEvent|Keyboard[Shift+']
Timeline.ShowEventProperties|Keyboard[Shift+]]
Timeline.CreateEventForActionItem|Keyboard[Shift+/]
Timeline.ScrollToNow|Keyboard[Shift+=]
Timeline.ScrollLeft|Keyboard[Shift+`]
Timeline.ScrollRight|Keyboard[Shift+-]
Timeline.DayView|Keyboard[Shift+;]
Timeline.WeekView|Keyboard[Shift+F1]
Timeline.MonthView|Keyboard[Shift+[]
Timeline.YearView|Keyboard[Shift+F2]
View.Arrange.Name|Keyboard[Shift+F10]
View.Arrange.Type|Keyboard[Shift+F11]
View.Arrange.DateModified|Keyboard[Shift+F8]
View.Arrange.DateCreated|Keyboard[Shift+F6]
View.Arrange.DateActivated|Keyboard[Shift+F3]
View.Arrange.DateModifiedReverse|Keyboard[Shift+F9]
View.Arrange.DateCreatedReverse|Keyboard[Shift+F7]
View.Arrange.DateActivatedReverse|Keyboard[Shift+F5]
View.RefreshBrainsList|Keyboard[Shift+Ctrl+']
View.SortBrainsByName|Keyboard[Shift+Ctrl+[]
View.SortBrainsByDate|Keyboard[Shift+Ctrl+\]
View.CollapseAll|Keyboard[Shift+Ctrl+,]
View.ExpandAll|Keyboard[Shift+Ctrl+.]
View.Mindmap|Keyboard[Shift+Ctrl+3]
View.Normal|Keyboard[Shift+Ctrl+1]
View.OpenInbox|Keyboard[Shift+Ctrl+/]
View.Outline|Keyboard[Shift+Ctrl+2]
View.PlexZoomIn|Keyboard[Ctrl+=]
View.PlexZoomOut|Keyboard[Ctrl+-]
View.PresenationMode|Keyboard[Shift+Ctrl+;]
View.Timeline|Keyboard[Shift+Ctrl+]]
Window.CloseTab|Keyboard[Ctrl+W]
Window.CloseOtherTabs|Keyboard[Shift+Ctrl+6]
Window.CloseWindow|Keyboard[Shift+Ctrl+7]
Window.ContentTab.LocationAutomatic|Keyboard[Shift+Ctrl+8]
Window.ContentTab.LocationTop|Keyboard[Shift+Ctrl+0]
Window.ContentTab.LocationLeft|Keyboard[Shift+Ctrl+9]
Window.ContentTab.AttachmentsAsTabs|Keyboard[Shift+Ctrl+4]
Window.ContentTab.AttachmentsAsList|Keyboard[Shift+Ctrl+`]
Window.DuplicateTab|Keyboard[Shift+Ctrl+-]
Window.FocusNotes|Keyboard[Ctrl+N]
Window.FocusSearch|Keyboard[Ctrl+S]
Window.MergeAll|Keyboard[Shift+Ctrl+=]
Window.MoveTabToNewWindow|Keyboard[Shift+Ctrl+F2]
Window.Zoom|Keyboard[Shift+Ctrl+F6]
Window.Minimize|Keyboard[Shift+Ctrl+F1]
Window.BringAllToFront|Keyboard[Shift+Ctrl+5]
Window.NewTab|Keyboard[Ctrl+T]
Window.NewWindow|Keyboard[Shift+Ctrl+N]
Window.SplitterMore|Keyboard[Shift+Ctrl+S]
Window.SplitterLess|Keyboard[Shift+Ctrl+A]
Window.SplitterRotate|Keyboard[Shift+Ctrl+F3]
Window.SplitterSwap|Keyboard[Shift+Ctrl+F5]
Window.NextTab|Keyboard[Ctrl+Tab]
Window.PreviousTab|Keyboard[Shift+Ctrl+Tab]
Window.NextContentTab|Keyboard[Ctrl+Q]
Window.PreviousContentTab|Keyboard[Shift+Ctrl+Q]
Pdf.ZoomIn|Keyboard[Alt+Shift+Ctrl+`]
Pdf.ZoomOut|Keyboard[Alt+Shift+Ctrl+1]
Pdf.ActualSize|Keyboard[Alt+Shift+Ctrl+,]
Pdf.RotateClockwise|Keyboard[Alt+Shift+Ctrl+\]
Pdf.RotateCounterclockwise|Keyboard[Alt+Shift+Ctrl+[]
Pdf.Print|Keyboard[Alt+Shift+Ctrl+']
Pdf.FitPage|Keyboard[Alt+Shift+Ctrl+/]
Pdf.FitWidth|Keyboard[Alt+Shift+Ctrl+;]
Pdf.Thumbnails|Keyboard[Alt+Shift+Ctrl+]]
Pdf.Find|Keyboard[Alt+Shift+Ctrl+.]
Attachment.CaptureImageToAttachment|Keyboard[Alt+Ctrl+B]
Attachment.TemplateInfo|Keyboard[Alt+Ctrl+R]
Options.ToggleSpellcheck|Keyboard[Alt+U]
Edit.PasteWithoutFormatting|Keyboard[Shift+Ctrl+V]
Edit.CopyAsText|Keyboard[Shift+Ctrl+C]
